cod_transicao;frase_generica;frase_dependencia;frase_morte;atendimento_humano
1;"Informamos que este pedido de indenização está em fase de cadastramento. A documentação será digitalizada e depois analisada pela equipe da seguradora. 
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.";N/A;N/A;N/A
00A;Informamos que o cadastramento de seu pedido de indenização do Seguro DPVAT não foi concluído.   Entre em contato com a seguradora [SEGURADORA] para obter mais informações sobre a situação desse pedido.;Informamos que o cadastramento de seu pedido de indenização do Seguro DPVAT não foi concluído.  ;N/A;SIM
00V;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
00W;"Informamos que este pedido de indenização está em fase de cadastramento. A documentação será digitalizada e depois analisada pela equipe da seguradora. 
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.";N/A;N/A;N/A
00Y;Informamos que o cadastramento de seu pedido de indenização do Seguro DPVAT não foi concluído.   Entre em contato com a seguradora [SEGURADORA] para obter mais informações sobre a situação desse pedido.;Informamos que o cadastramento de seu pedido de indenização do Seguro DPVAT não foi concluído.  ;N/A;SIM
10;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
11;"Recebemos sua documentação complementar e informamos que este pedido de indenização está em análise na Seguradora Líder.
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ";N/A;N/A;N/A
13;"Recebemos sua documentação complementar e informamos que está em fase de digitalização.
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ";N/A;N/A;N/A
14;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
15;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
16;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
17;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
18;Lamentamos informar, mas o seu pedido de indenização do Seguro DPVAT foi cancelado por conta da não entrega da documentação complementar, fundamental para a análise correta do processo. Mas, atenção: você poderá abrir uma nova solicitação no mesmo ponto de atendimento ou através do site pedidodpvat.seguradoralider.com.br, enviando a documentação apresentada anteriormente assim como os itens faltantes.;N/A;N/A;N/A
19;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
01A;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
01C;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
01D;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
01E;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
01F;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
01G;"Seus documentos estão em fase de digitalização e depois serão analisados pela equipe técnica da seguradora. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
01H;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
01I;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
01J;"Seus documentos estão em fase de digitalização e depois serão analisados pela equipe técnica da seguradora. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
